Date,Student ID,Coming Today?,Today's Bus Number,Today's Pickup Stop,Pickup Status,Boarded Bus?,Attendance Status,Last Updated
2026-07-29,CTU1001,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:09 AM
2026-07-29,CTU1002,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:29 AM
2026-07-29,CTU1003,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:08 AM
2026-07-29,CTU1004,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:29 AM
2026-07-29,CTU1005,YES,BUS-01,Baltana,PICKED UP,YES,PRESENT,07:28 AM
2026-07-29,CTU1006,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:40 AM
2026-07-29,CTU1007,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:15 AM
2026-07-29,CTU1008,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:41 AM
2026-07-29,CTU1009,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:05 AM
2026-07-29,CTU1010,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:17 AM
2026-07-29,CTU1011,YES,BUS-01,VIP Road,PICKED UP,YES,PRESENT,07:49 AM
2026-07-29,CTU1012,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:05 AM
2026-07-29,CTU1013,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:37 AM
2026-07-29,CTU1014,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:10 AM
2026-07-29,CTU1015,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:04 AM
2026-07-29,CTU1016,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:24 AM
2026-07-29,CTU1017,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:29 AM
2026-07-29,CTU1018,YES,BUS-01,Baltana,WAITING,NO,PENDING,07:16 AM
2026-07-29,CTU1019,YES,BUS-01,VIP Road,WAITING,NO,PENDING,07:43 AM
2026-07-29,CTU1020,YES,BUS-01,Dhakoli,WAITING,NO,PENDING,07:23 AM
2026-07-29,CTU1021,YES,BUS-01,Dhakoli,PICKED UP,YES,PRESENT,07:23 AM
2026-07-29,CTU1022,YES,BUS-01,Baltana,PICKED UP,YES,PRESENT,07:48 AM
